=======================================================
  CSI Amplitude Bridge (occupancy from amplitude std)
  nodes=[1, 5] scale=10.0 window=3.0s
  backend=http://127.0.0.1:8000/sensor-data
=======================================================
[csi-amp] amp_std=1.020 -> presence=15.18 | n1=0.91(rssi-20) n5=1.02(rssi-27)
[csi-amp] amp_std=0.867 -> presence=13.23 | n1=0.75(rssi-20) n5=0.87(rssi-26)
[csi-amp] amp_std=0.830 -> presence=11.75 | n1=0.76(rssi-20) n5=0.83(rssi-26)
[csi-amp] amp_std=0.976 -> presence=11.15 | n1=0.86(rssi-21) n5=0.98(rssi-27)
[csi-amp] amp_std=0.979 -> presence=10.75 | n1=0.86(rssi-20) n5=0.98(rssi-27)
[csi-amp] amp_std=1.762 -> presence=12.81 | n1=1.76(rssi-18) n5=1.45(rssi-27)
[csi-amp] amp_std=1.950 -> presence=14.82 | n1=1.81(rssi-19) n5=1.95(rssi-29)
[csi-amp] amp_std=2.002 -> presence=16.38 | n1=2.00(rssi-17) n5=1.33(rssi-29)
[csi-amp] amp_std=1.510 -> presence=15.99 | n1=1.45(rssi-18) n5=1.51(rssi-31)
[csi-amp] amp_std=2.377 -> presence=18.33 | n1=1.36(rssi-18) n5=2.38(rssi-26)
[csi-amp] amp_std=2.724 -> presence=21.0 | n1=2.03(rssi-20) n5=2.72(rssi-27)
[csi-amp] amp_std=3.361 -> presence=24.78 | n1=2.15(rssi-19) n5=3.36(rssi-29)
[csi-amp] amp_std=3.047 -> presence=26.49 | n1=1.74(rssi-19) n5=3.05(rssi-28)
[csi-amp] amp_std=3.460 -> presence=28.92 | n1=1.76(rssi-20) n5=3.46(rssi-27)
[csi-amp] amp_std=2.247 -> presence=26.99 | n1=1.66(rssi-20) n5=2.25(rssi-26)
[csi-amp] amp_std=3.538 -> presence=29.51 | n1=2.09(rssi-19) n5=3.54(rssi-27)
[csi-amp] amp_std=3.382 -> presence=30.8 | n1=2.02(rssi-19) n5=3.38(rssi-29)
[csi-amp] amp_std=3.314 -> presence=31.5 | n1=1.94(rssi-19) n5=3.31(rssi-27)
[csi-amp] amp_std=1.231 -> presence=25.75 | n1=1.20(rssi-20) n5=1.23(rssi-28)
[csi-amp] amp_std=1.153 -> presence=21.48 | n1=0.94(rssi-20) n5=1.15(rssi-27)
[csi-amp] amp_std=0.000 -> presence=15.04 | n1=0.00(rssi-20) n5=0.00(rssi-29)
[csi-amp] amp_std=1.129 -> presence=13.91 | n1=0.87(rssi-19) n5=1.13(rssi-27)
[csi-amp] amp_std=1.254 -> presence=13.5 | n1=1.00(rssi-19) n5=1.25(rssi-28)
[csi-amp] amp_std=1.164 -> presence=12.94 | n1=0.97(rssi-20) n5=1.16(rssi-28)
[csi-amp] amp_std=1.056 -> presence=12.23 | n1=0.94(rssi-19) n5=1.06(rssi-28)
[csi-amp] amp_std=1.154 -> presence=12.02 | n1=1.05(rssi-19) n5=1.15(rssi-28)
[csi-amp] amp_std=1.549 -> presence=13.06 | n1=1.47(rssi-19) n5=1.55(rssi-28)
[csi-amp] amp_std=2.686 -> presence=17.2 | n1=1.57(rssi-19) n5=2.69(rssi-27)
[csi-amp] amp_std=3.471 -> presence=22.45 | n1=1.57(rssi-19) n5=3.47(rssi-29)
